cache_type,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions
kv_only,40.0,0.5,20.0,20.0,16,16,1238,0.9248788368336026,0.9278791724379499,1166.0296943231442,1438877,1335104,15.548284928,19.98372864,1048576,26787840,14828,746,0
ssm_only,40.0,0.5,20.0,20.0,16,16,1238,0.2568659127625202,0.2126213706939509,962.062893081761,1438877,305936,15.548284928,19.98372864,1048576,26787840,14828,746,81422
hybrid_intersection,40.0,0.5,20.0,20.0,16,16,1238,0.2568659127625202,0.2126213706939509,962.062893081761,1438877,305936,15.548284928,19.98372864,1048576,26787840,14828,746,81422
kv_only,40.0,0.5,20.0,20.0,16,32,1238,0.9248788368336026,0.9278791724379499,1166.0296943231442,1438877,1335104,15.548284928,19.98372864,1048576,26787840,14828,746,0
ssm_only,40.0,0.5,20.0,20.0,16,32,1238,0.4491114701130856,0.451485429261848,1168.4028776978416,1438877,649632,15.548284928,19.98372864,1048576,26787840,14828,746,29365
hybrid_intersection,40.0,0.5,20.0,20.0,16,32,1238,0.4491114701130856,0.451485429261848,1168.4028776978416,1438877,649632,15.548284928,19.98372864,1048576,26787840,14828,746,29365
kv_only,40.0,0.5,20.0,20.0,16,64,1238,0.9248788368336026,0.9278791724379499,1166.0296943231442,1438877,1335104,15.548284928,19.98372864,1048576,26787840,14828,746,0
ssm_only,40.0,0.5,20.0,20.0,16,64,1238,0.7350565428109854,0.7800305377040567,1233.3714285714286,1438877,1122368,15.548284928,19.98372864,1048576,26787840,14828,746,6138
hybrid_intersection,40.0,0.5,20.0,20.0,16,64,1238,0.7350565428109854,0.7800305377040567,1233.3714285714286,1438877,1122368,15.548284928,19.98372864,1048576,26787840,14828,746,6138
kv_only,40.0,0.5,20.0,20.0,32,16,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,19.98372864,2097152,26787840,7392,746,0
ssm_only,40.0,0.5,20.0,20.0,32,16,1238,0.2568659127625202,0.2126213706939509,962.062893081761,1438877,305936,15.502147584,19.98372864,2097152,26787840,7392,746,81414
hybrid_intersection,40.0,0.5,20.0,20.0,32,16,1238,0.2568659127625202,0.21106460107431005,955.0188679245283,1438877,303696,15.502147584,19.98372864,2097152,26787840,7392,746,81414
kv_only,40.0,0.5,20.0,20.0,32,32,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,19.98372864,2097152,26787840,7392,746,0
ssm_only,40.0,0.5,20.0,20.0,32,32,1238,0.4491114701130856,0.451485429261848,1168.4028776978416,1438877,649632,15.502147584,19.98372864,2097152,26787840,7392,746,29365
hybrid_intersection,40.0,0.5,20.0,20.0,32,32,1238,0.4491114701130856,0.451485429261848,1168.4028776978416,1438877,649632,15.502147584,19.98372864,2097152,26787840,7392,746,29365
kv_only,40.0,0.5,20.0,20.0,32,64,1238,0.9192245557350566,0.9216076148273966,1165.2724077328646,1438877,1326080,15.502147584,19.98372864,2097152,26787840,7392,746,0
ssm_only,40.0,0.5,20.0,20.0,32,64,1238,0.7350565428109854,0.7800305377040567,1233.3714285714286,1438877,1122368,15.502147584,19.98372864,2097152,26787840,7392,746,6138
hybrid_intersection,40.0,0.5,20.0,20.0,32,64,1238,0.7350565428109854,0.7800305377040567,1233.3714285714286,1438877,1122368,15.502147584,19.98372864,2097152,26787840,7392,746,6138
