cache_type,model_name,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens,tuned_eff_weight
vllm_plus,Qwen3.5-4B,1.0,,,,32,,1238,0.04361873990306947,0.03060859267331398,815.5925925925926,1438877,44042,0.087588864,2.246049792,1048576,26738688,,84,,318920205271040,2673,
marconi_v2,Qwen3.5-4B,1.0,,,,,,1238,0.9563812600969306,0.25248648772619203,306.83868243243245,1438877,363297,0.57327616,0.320864256,1048576,26738688,,12,,2653988911710208,17495,0.7
vllm_plus,Qwen3.5-4B,5.0,,,,32,,1238,0.1098546042003231,0.07968505994605515,843.0661764705883,1438877,114657,0.18890752,4.839702528,1048576,26738688,,181,,829199853158400,5765,
marconi_v2,Qwen3.5-4B,5.0,,,,,,1238,0.9983844911147012,0.8355189498476937,972.661003236246,1438877,1202209,1.761345536,3.128426496,1048576,26738688,,117,,8739890162434048,53752,0
vllm_plus,Qwen3.5-4B,10.0,,,,32,,1238,0.2084006462035541,0.1794934521852806,1001.0426356589147,1438877,258269,0.375881728,9.652666368,1048576,26738688,,361,,1876115743440896,11471,
marconi_v2,Qwen3.5-4B,10.0,,,,,,1238,0.9983844911147012,0.9162951385003721,1066.695792880259,1438877,1318436,2.932113408,7.059013632,1048576,26738688,,264,,9580027404091392,89481,0.0
vllm_plus,Qwen3.5-4B,20.0,,,,32,,1238,0.3861066235864297,0.38555206595143293,1160.5899581589958,1438877,554762,0.750845952,19.278594048,1048576,26738688,,721,,4035770081345536,22914,
marconi_v2,Qwen3.5-4B,20.0,,,,,,1238,0.9983844911147012,0.9321964281867039,1085.2071197411003,1438877,1341316,5.364547584,14.626062336,1048576,26738688,,547,,9743411555074048,163713,0.0
vllm_plus,Qwen3.5-4B,40.0,,,,32,,1238,0.6768982229402262,0.729070657186125,1251.8412887828163,1438877,1049043,1.501888512,38.530449408,1048576,26738688,,1441,,7627028440416256,45834,
marconi_v2,Qwen3.5-4B,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,7.760412672,32.22011904,1048576,26738688,,1205,,9767193531645952,236829,0.0
