cache_type,model_name,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens,tuned_eff_weight
vllm_plus,Qwen3.5-4B,1.0,,,,32,,1238,0.046849757673667204,0.031920032080573944,791.8793103448276,1438877,45929,0.087588864,2.246049792,1048576,26738688,,84,,332490738892800,2673,
marconi_v2,Qwen3.5-4B,1.0,,,,,,1238,0.9789983844911146,0.28360033553945196,336.68811881188117,1438877,408066,0.642482176,0.347602944,1048576,26738688,,13,,2970938420494336,19607,0.1
vllm_plus,Qwen3.5-4B,5.0,,,,32,,1238,0.12762520193861066,0.0876648942195893,798.3481012658228,1438877,126139,0.188317696,4.839702528,1048576,26738688,,181,,911223481040896,5747,
marconi_v2,Qwen3.5-4B,5.0,,,,,,1238,0.9983844911147012,0.8426919048674765,981.0113268608415,1438877,1212530,1.761345536,3.128426496,1048576,26738688,,117,,8812421664210944,53752,0
vllm_plus,Qwen3.5-4B,10.0,,,,32,,1238,0.22778675282714056,0.18437642689402917,940.7624113475177,1438877,265295,0.375881728,9.652666368,1048576,26738688,,361,,1923746435825664,11471,
marconi_v2,Qwen3.5-4B,10.0,,,,,,1238,0.9983844911147012,0.9172159955298472,1067.767799352751,1438877,1319761,2.932113408,7.059013632,1048576,26738688,,264,,9589373450715136,89481,0.0
vllm_plus,Qwen3.5-4B,20.0,,,,32,,1238,0.42245557350565427,0.41229583904670103,1134.3078393881453,1438877,593243,0.750845952,19.278594048,1048576,26738688,,721,,4312588163088384,22914,
marconi_v2,Qwen3.5-4B,20.0,,,,,,1238,0.9983844911147012,0.9323514101622307,1085.3875404530745,1438877,1341539,5.117444096,14.83997184,1048576,26738688,,555,,9744974130053120,156172,0.0
vllm_plus,Qwen3.5-4B,40.0,,,,32,,1238,0.7051696284329564,0.7587389332097184,1250.5521191294388,1438877,1091732,1.501888512,38.530449408,1048576,26738688,,1441,,7935398503776256,45834,
marconi_v2,Qwen3.5-4B,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,7.672332288,32.327073792,1048576,26738688,,1209,,9767193531645952,234141,0.0
