cache_type,model_name,capacity_gb,kv_cache_fraction,kv_capacity_gb,ssm_capacity_gb,kv_block_size,ssm_checkpoint_interval,num_requests,request_hit_rate,token_hit_rate,avg_hit_tokens_per_hit,total_input_tokens,total_hit_tokens,kv_used_gb,ssm_used_gb,kv_block_bytes,ssm_checkpoint_bytes,kv_cached_blocks,ssm_cached_checkpoints,evictions,total_flops_saved,num_cached_kv_tokens,tuned_eff_weight
vllm_plus,Qwen3.5-4B,1.0,,,,32,,1238,0.05573505654281099,0.040960415657488446,854.1594202898551,1438877,58937,0.087588864,2.246049792,1048576,26738688,,84,,426853032919040,2673,
marconi_v2,Qwen3.5-4B,1.0,,,,,,1238,0.9838449111470113,0.3376376160019237,398.8661740558292,1438877,485819,0.57327616,0.374341632,1048576,26738688,,14,,3533694663000064,17495,0.1
vllm_plus,Qwen3.5-4B,5.0,,,,32,,1238,0.1567043618739903,0.10250980452116477,760.3041237113403,1438877,147499,0.188317696,4.839702528,1048576,26738688,,181,,1064768642351104,5747,
marconi_v2,Qwen3.5-4B,5.0,,,,,,1238,0.9983844911147012,0.8603452553623416,1001.5622977346278,1438877,1237931,1.761345536,3.181903872,1048576,26738688,,119,,8997766112083968,53752,0
vllm_plus,Qwen3.5-4B,10.0,,,,32,,1238,0.2835218093699515,0.24027766098144596,984.985754985755,1438877,345730,0.376537088,9.652666368,1048576,26738688,,361,,2508357515083776,11491,
marconi_v2,Qwen3.5-4B,10.0,,,,,,1238,0.9983844911147012,0.9216785034440053,1072.962783171521,1438877,1326182,3.019505664,6.978797568,1048576,26738688,,261,,9635344873160704,92148,0.0
vllm_plus,Qwen3.5-4B,20.0,,,,32,,1238,0.5048465266558966,0.5005417419279062,1152.3488,1438877,720218,0.750845952,19.278594048,1048576,26738688,,721,,5232824717672448,22914,
marconi_v2,Qwen3.5-4B,20.0,,,,,,1238,0.9983844911147012,0.9340805364183318,1087.4004854368932,1438877,1344027,5.09984768,14.83997184,1048576,26738688,,555,,9762614336159744,155635,0.0
vllm_plus,Qwen3.5-4B,40.0,,,,32,,1238,0.7633279483037156,0.8000322473706926,1218.1460317460317,1438877,1151148,1.501888512,38.530449408,1048576,26738688,,1441,,8366233812467712,45834,
marconi_v2,Qwen3.5-4B,40.0,,,,,,1238,0.9983844911147012,0.9345288026704159,1087.9223300970873,1438877,1344672,7.672332288,32.327073792,1048576,26738688,,1209,,9767193531645952,234141,0.0
